Rank,Book_Title,Author
2019,Margot and the Angels,Kristien Hemmerechts
2020,There Are No Children Here,Alex Kotlowitz
2021,Der Judenstaat,Theodor Herzl
2022,What a Carve Up!,Jonathan Coe
2023,Shahnameh,Ferdowsi
2024,Arcadia,Jim Crace
2025,Forever a Stranger,Hella S. Haasse
2026,The Portable Faulkner,William Faulkner
2027,A Question of Power,Bessie Head
2028,The Mysteries of Udolpho,Ann Radcliffe
2029,Down Second Avenue, Es'kia Mphahlele
2030,Twenty Years at Hull-House,Jane Addams
2031,The Wretched of the Earth,Frantz Fanon
2032,The Family of Man, Edward Steichen
2033,Sexing the Cherry,Jeanette Winterson
2034,Willard and His Bowling Trophies: A Perverse Mystery,Richard Brautigan
2035,The Summer Book,Tove Jansson
2036,So Long a Letter, Mariama B‰
2037,The Thin Man,Dashiell Hammett
2038,The Castle of Crossed Destinies,Italo Calvino
2039,The Tree of Man,Patrick White
2040,The Twilight Years,Sawako Ariyoshi
2041,Alias Grace,Margaret Atwood
2042,Torrents of Spring,Ivan Turgenev
2043,The Diversity of Life,Edward O. Wilson
2044,The Crime of Father Amaro,Ea de Queir—s
2045,Pharaoh, Boles_aw Prus
2046,The Seance and Other Stories,Isaac Bashevis Singer
2047,In Search of Klingsor,Jorge Volpi Escalante
2048,The Triple Mirror of the Self,Zulfikar Ghose
2049,The Cathedral,Oles Honchar
2050,Dangling Man,Saul Bellow
2051,Armenian Atrocities: The Murder of a Nation,Arnold Toynbee
2052,The Age of Anxiety,W. H. Auden
2053,The Whole Internet: User's Guide & Catalog,Ed Krol
2054,War Poems of Siegfried Sassoon,Siegfried Sassoon
2055,Cataract,Mykhaylo Osadchy
2056,Sarah  Plain and Tall,Patricia MacLachlan
2057,The Parable of the Blind,Gert Hofmann
2058,The Sorrow of Belgium,Hugo Claus
2059,My Fight for Birth Control,Margaret Sanger
2060,By the Open Sea,August Strindberg
2061,Cigarettes,Harry Mathews
2062,Short Friday: And Other Stories,Isaac Bashevis Singer
2063,Hallucinating Foucault,Patricia Duncker
2064,The Devil and Miss Prym,Paulo Coelho
2065,Moscow-Petushki,Venedikt Yerofeev
2066,The Life of the Bee,Maurice Maeterlinck
2067,The Girls of Slender Means,Muriel Spark
2068,Wittgenstein's Nephew,Thomas Bernhard
